1601987	9	193	-	Москва
1602056	15	415	22	Тбилиси
1602477	8	236	-	Санкт-Петербург
1603505	1	61	-	-
1601654	4	178	-	Москва
1601667	17	179	116	Lublin
1601686	19	372	-	Астана
1601697	36	331	20	Краснодар
1602015	12	102	-	Ангарск
1602020	1	74	-	-
1601469	7	378	19	Омск
1601512	4	246	-	Воронеж
1601517	9	258	15	Саратов
1601519	7	130	-	Козова
1601526	6	244	-	Красноярск
1601528	9	215	18	Павлоград
1601548	8	223	-	-
1601560	10	222	25	Ангарск
1601579	7	190	100	-
1601595	6	247	24	Новосибирск
1601324	5	1711	-	Краснодар
1601330	14	544	-	-
1601334	4	284	-	Калуга
1601351	7	944	-	Оренбург
1601370	2	327	-	-
1601394	5	201	-	Washington, D.C.
1601708	9	534	-	Москва
1601864	11	363	116	Киев
1602151	3	325	-	Краснодар
1601130	4	315	116	Lublin
1601136	6	337	20	-
1601026	4	198	31	Москва
1601033	4	320	18	Санкт-Петербург
1601036	31	196	-	Санкт-Петербург
1601038	5	179	16	Новосибирск
1601049	16	292	-	-
1601070	16	350	-	Краснодар
1601091	7	422	-	-
1601114	25	148	17	Berlin
1601146	19	248	17	Старый Оскол
1601176	53	201	-	Санкт-Петербург
1600879	1	442	-	-
1600884	4	324	-	Санкт-Петербург
1600891	6	201	-	Санкт-Петербург
1600894	5	556	22	Бишкек
1600901	2	170	-	Уфа
1600904	6	398	-	Санкт-Петербург
1600905	7	392	-	Уфа
1600917	5	676	-	Красноярск
1600919	1	362	-	-
1600937	4	308	22	Бишкек
1600462	10	269	-	Москва
1600754	4	154	-	Los Angeles
1600366	9	533	-	-
1600368	4	108	14	Chicago
1600369	8	292	-	-
1600370	16	258	31	Москва
1600379	8	257	18	Усть-Каменогорск
1600384	15	111	20	Тамбов
1600397	18	103	52	Brugge
1600412	5	433	20	Нижний Новгород
1600416	7	183	52	Brugge
1600420	9	344	23	Москва
1600280	14	381	-	-
1600147	4	274	-	Fiddes
1600148	3	538	-	-
1600150	3	208	-	-
1600157	7	405	16	-
1600158	9	236	-	Санкт-Петербург
1600164	3	541	19	Одесса
1600191	5	153	52	Brugge
1600266	7	233	18	Бишкек
1600271	4	197	18	Бишкек
1600294	18	198	-	Новосибирск
1599894	4	458	-	Санкт-Петербург
1599456	5	275	-	-
1599470	3	338	-	Санкт-Петербург
1600013	7	201	-	-
1599215	3	364	20	-
1599221	18	829	30	Магнитогорск
1599228	7	449	-	Минск
1599231	9	481	-	-
1599313	9	368	116	-
1599143	2	212	27	Санкт-Петербург
1599314	34	221	23	-
1598742	3	217	24	Набережные Челны
1598787	4	141	19	Вологда
1598989	1	179	112	Лесосибирск
1598588	3	247	52	Орехово
1598589	17	606	24	Нижний Тагил
1598594	13	418	-	-
1598631	19	172	15	Киев
1598728	7	190	21	Кривой Рог
1598406	3	287	-	-
1598692	24	206	19	Düsseldorf
1598878	33	150	-	New York City
1598166	12	160	-	Санкт-Петербург
1597981	2	209	-	Николаев
1597982	46	187	14	Томск
1597988	11	95	-	-
1597993	17	171	20	Новосибирск
1597996	16	81	-	Москва
1598004	12	103	16	Харьков
1598017	7	217	19	Киев
1598042	13	204	23	-
1598091	14	173	20	Tokyo
1598128	19	188	19	Вологда
1597792	3	517	32	Wellington
1597804	13	177	-	Новосибирск
1597827	13	193	-	-
1597837	13	382	25	Санкт-Петербург
1597843	19	243	-	-
1597847	20	117	-	Днепропетровск (Днепр)
1597887	11	188	19	Düsseldorf
1597635	4	146	-	Надвоицы
1597654	4	197	-	Москва
1597671	5	324	-	-
1597859	2	231	-	Чушка
1597935	17	137	-	Череповец
1597562	13	282	21	Курск
1597567	2	201	-	-
1597587	5	133	-	Санкт-Петербург
1597592	13	174	14	Томск
1597597	19	150	25	Санкт-Петербург
1597609	14	97	16	Москва
1597673	4	87	-	Berlin
1597735	8	214	-	-
1597398	5	204	20	-
1597400	2	113	-	Якутск
1597401	7	371	-	Красноярск
1597403	28	276	-	Doncaster
