1459005	4	4812
1609268	13	3119
1609179	14	3937
1609075	12	4591
1608699	0	107
1608623	12	5497
1608531	11	4301
1608390	13	7596
1608227	12	60
1608163	46	4413
1608050	23	3810
1607754	6	7259
1607558	5	9701
1607143	8	6721
1606971	13	6886
1606746	6	6264
1606667	22	804
1606488	0	2535
1606292	10	9562
1606116	15	8462
1605994	26	8910
1605873	14	8741
1605840	16	7920
1605633	19	6481
1605543	14	8353
1605226	47	5060
1605117	12	9367
1604946	28	7859
1604882	14	9637
1604680	15	482
1604526	16	11982
1604189	18	9659
1603891	14	6905
1603781	8	10401
1603663	45	6455
1603373	10	11592
1603242	7	10363
1603140	14	6117
1602944	0	257
1602820	16	7185
1602755	19	9712
1602499	32	4995
1601926	8	11678
1601651	18	7565
1601440	8	14208
1601322	14	8918
1601129	9	7232
1601019	15	13181
1600873	15	22652
1600457	7	8700
1600364	11	14029
1600241	18	4836
1600143	23	6682
1599723	5	7953
1599585	8	8511
1599449	6	10107
1599206	18	8679
1599084	37	7983
1598740	3	6535
1598578	15	14184
1598397	22	9021
1598152	17	93
1597972	15	9710
1597787	13	15208
1597631	9	9540
1597554	12	11538
1597396	40	5923
1596974	12	9311
1596750	21	8043
1596542	14	7968
1596365	7	14018
1596257	5	7366
1595741	19	7031
1595585	25	6777
1595456	0	13039
1595327	17	11688
1595251	21	14801
1594898	60	3792
1594763	8	12808
1594687	24	5972
1594511	10	8320
1593845	20	8435
1593716	0	8547
1593510	12	10371
1593283	36	8285
1593078	18	7357
1592809	2	4876
1592418	10	8846
1592235	18	10196
1592064	40	7902
1591923	23	9872
1591761	19	7079
1591560	18	10974
1591375	23	7386
1590796	5	8735
1590600	31	4880
1590435	7	8193
1590029	9	14501
1589846	23	9389
1589752	8	9255
1589585	0	7339
1589224	13	9648
1589026	17	15610
1588646	12	14647
1588521	29	9002
1588379	3	11674
1588279	16	6625
1587639	27	7634
1587376	5	13654
1587271	165	5797
1586781	8	8984
1586594	4	9655
1586384	7	8221
1586252	0	5854
1585954	29	6154
1585883	21	10455
1585750	17	11401
1585221	17	15411
1585105	13	11018
1584977	11	9241
1584712	4	13615
1584270	15	12506
1584048	14	10001
1583642	10	8664
1583379	10	21108
1583109	12	11722
1582929	16	13004
1582780	33	9745
1582688	15	11458
1582571	24	4364
1582462	21	9003
1582344	12	10497
1582192	7	15469
1581534	22	13445
1581403	38	9612
1581066	23	11482
1580874	20	15616
1580543	19	10638
1580349	9	12449
1579896	10	8871
1579689	19	9089
1579526	10	9695
1579142	6	7584
1579054	34	7280
1578796	7	9180
1578585	13	15461
1578471	14	12287
1578332	14	9779
1578067	27	4841
1577810	20	11668
1577526	13	6592
1577175	25	7283
1576746	11	9303
1576544	4	9711
1576360	7	13041
1576162	11	11957
1575923	51	4994
1575437	5	9738
1575315	6	12974
1575210	13	10261
1574797	21	8136
1574628	5	15140
1574360	10	757
1574279	13	11931
1574125	0	15418
1573914	17	13053
1573683	9	9725
1573464	19	10200
1573321	12	7733
1572949	15	14890
1572793	13	11166
1572579	9	8642
1572266	9	14254
1572046	13	10507
1571924	12	7586
1571689	18	5994
1571530	21	8450
1570942	5	12927
1570575	16	11161
1570192	19	19906
1570028	62	11802
1569086	13	10111
1568946	38	8418
1568568	19	9090
1568429	48	6988
1568120	16	10110
1567244	6	16764
1567033	7	14518
1566845	6	13388
1566652	8	9484
1566493	12	11526
1566260	16	11088
1566110	25	6608
1565877	12	13052
1565646	40	9538
1565290	10	8025
1565188	32	6084
1565069	9	7847
1564683	11	12399
1564235	18	16797
1564017	12	9799
1563353	60	4796
1563128	30	8276
1562937	15	10032
1562810	8	9302
1562292	6	17157
1562170	6	8058
1562024	14	11508
1561684	1	7717
1561555	15	9282
1561259	18	11872
1561174	11	7102
1560483	28	13689
